CommonName,Long_1,Fire_K,Seed_2,Snow_K,WL__6,Poll_Abiotic,Disp_Wind,Disp_Invert_ext_,Glycophyte
sp0137,0,0,1,0,0,0,1,0,0
sp0138,0,1,0,1,0,0,0,0,0
sp0139,1,1,1,1,0,0,0,1,0
sp0140,0,0,1,0,0,0,1,0,1
sp0141,1,1,0,1,0,0,1,0,0
sp0142,0,0,1,1,0,0,0,1,0
sp0143,0,1,0,1,0,0,0,0,0
sp0144,0,0,1,1,0,0,0,1,0
sp0145,0,0,1,0,0,0,1,0,1
sp0146,0,0,1,0,1,0,0,0,0
sp0147,0,1,0,0,0,0,1,0,0
sp0148,0,0,0,1,0,1,1,0,0
sp0149,0,0,1,0,0,0,0,0,0
sp0150,0,0,1,0,0,0,1,0,1
sp0151,1,1,0,0,0,1,0,0,0
sp0152,1,1,0,1,0,1,0,0,0
sp0153,1,1,0,1,0,0,1,0,0
sp0154,0,1,0,0,0,0,1,0,1
sp0155,0,0,0,1,0,0,0,0,0
sp0156,0,0,0,0,0,0,0,1,1
sp0157,0,1,0,0,0,0,1,0,0
sp0158,0,0,1,0,0,0,1,0,0
sp0159,0,0,0,1,0,0,0,0,1
sp0160,1,1,0,1,1,1,0,0,0
sp0161,0,0,0,0,0,0,1,0,0
sp0162,0,0,1,1,0,0,0,1,1
sp0163,0,0,0,0,0,0,0,1,1
sp0164,0,0,0,0,0,1,0,0,0
sp0165,0,1,0,1,1,1,0,0,0
sp0166,0,1,0,1,0,1,0,1,0
sp0167,0,0,1,1,1,0,0,1,0
sp0168,0,0,1,1,0,0,0,1,0
sp0169,0,0,0,0,0,0,1,0,0
sp0170,0,1,0,1,0,1,1,0,0
sp0171,0,0,0,1,1,0,1,0,0
sp0172,0,0,1,1,0,0,0,0,0
sp0173,0,1,0,1,0,0,0,1,0
sp0174,0,1,0,1,0,0,1,0,0
sp0175,0,0,0,1,0,0,1,0,0
sp0176,0,1,0,1,0,0,0,1,0
sp0177,0,0,1,1,0,0,1,0,0
sp0178,1,1,0,0,0,0,0,0,0
sp0179,0,1,0,1,0,0,0,0,0
sp0180,0,0,1,1,0,0,1,0,0
sp0181,0,1,1,1,0,0,0,1,1
sp0182,0,0,0,0,0,0,0,0,0
sp0183,0,0,1,0,1,0,1,0,1
sp0184,0,0,1,0,0,0,1,0,1
sp0185,0,0,0,0,0,0,0,0,0
sp0186,0,0,1,0,0,0,0,1,1
sp0187,1,1,0,0,0,0,1,0,0
sp0188,0,0,0,0,0,0,0,0,0
sp0189,1,1,0,0,0,0,0,1,0
sp0190,0,1,0,0,1,0,1,0,1
sp0191,0,1,1,0,0,0,0,0,0
sp0192,0,0,1,0,0,0,0,0,0
sp0193,0,1,1,0,0,0,1,0,0
sp0194,0,0,1,0,0,0,0,0,1
sp0195,1,1,0,1,0,1,0,0,0
sp0196,0,0,0,1,0,1,0,0,0
sp0197,0,0,1,0,1,0,1,0,0
sp0198,1,1,0,0,1,0,0,0,1
sp0199,1,1,0,1,0,0,0,0,0
sp0200,0,0,0,0,0,1,0,1,1
sp0201,0,0,1,0,0,0,1,0,0
sp0202,0,1,0,0,0,0,0,0,0
sp0203,0,0,1,1,0,0,1,0,0
sp0204,1,1,0,0,0,0,0,0,0
sp0205,0,1,0,0,0,0,0,0,0
sp0206,0,0,0,0,1,0,0,1,0
sp0207,0,0,1,0,0,0,1,0,0
sp0208,0,1,0,1,0,1,1,0,0
sp0209,0,0,0,0,0,0,1,0,0
sp0210,0,0,1,1,0,0,1,0,0
sp0211,0,0,0,0,0,0,0,1,1
